項目,内容
開講年度,2024年度
科目名,Introduction to C Programming　０１
担当教員,齋藤　大輔
学期曜日時限,秋学期  月３時限
科目区分,数学：入門科目
使用教室,６３号館３階端末室Ａルーム
科目キー,11G4001140
授業で使用する言語,英語
授業方法区分,【対面】ハイブリッド（対面回数半数以上）
,コース・コード
大分野名称,情報学
中分野名称,プログラミング言語
小分野名称,概論
レベル,初級レベル（入門・導入）
